nome,cognome,ruolo,squadra
Elena,Rossi,Schiacciatrice,Igor Gorgonzola Novara
Giulia,Bianchi,Palleggiatrice,Vero Volley Milano
Sara,Neri,Opposto,Volley Bergamo 1991
Lucia,Verdi,Libero,Igor Gorgonzola Novara
Marta,Gialli,Opposto,Reale Mutua Fenera Chieri
Anna,Marroni,Schiacciatrice,UYBA Busto Arsizio
Laura,Rosa,Centrale,Il Bisonte Firenze
Chiara,Bruno,Libero,Megabox Vallefoglia
Federica,Mancini,Palleggiatrice,Volley Bergamo 1991
Sofia,Esposito,Opposto,Trasportipesanti Casalmaggiore
Elisa,Galli,Schiacciatrice,Trentino Volley
Angela,Greco,Centrale,Cuneo Granda Volley
Francesca,Ferrari,Libero,Azzurra Volley San Casciano
Monica,Rizzo,Opposto,E-Work Pinerolo
Beatrice,Sartori,Schiacciatrice,Roma Volley Club